ID,Grupo,Aleatorizacao,Bloco_Apresentacao,Ordem_Apresentacao,Codigo_Pseudo,Pseudopalavra,Vizinhanca_Fonologica,Vizinhanca_Tonicidade,Tonicidade_Producao,Informante,Tempo_Resposta,Palavra_Alvo,Tonicidade_Alvo,Estrutura_Palavra,Segmento_Modificado,Taxa_Similaridade,Validacao,Taxa_Validacao,Silaba_Modificada,Idade,Genero,Escolaridade,Area_Formacao,Linguas,Musica,Naturalidade
1,2,s,1,1,10,pecival,NA,NA,oxítona,T.A.,2916,possível,paroxítona,CV-CV-CVC,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
2,1,s,1,2,38,metopo,NA,NA,proparoxítona,T.A.,2767,método,proparoxítona,CV-CV-CV,consoante,2,q,7,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
3,2,s,1,3,45,poruna,NA,NA,paroxítona,T.A.,2604,paraná,oxítona,CV-CV-CV,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
4,2,s,1,4,73,sibumo,NA,NA,paroxítona,T.A.,2783,título,proparoxítona,CV-CV-CV,consoante,5,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
5,3,s,1,5,86,pabeto,eto_paroxitono_4,paroxitona_9,paroxítona,T.A.,2.66,paletó,oxítona,CV-CV-CV,consoante,2,n,2,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
6,4,s,1,6,55,finoral,NA,NA,oxítona,T.A.,3016,funeral,oxítona,CV-CV-CVC,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
7,3,s,1,7,56,labavel,NA,NA,oxítona,T.A.,3395,lavável,paroxítona,CV-CV-CVC,consoante,2,s,8,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
8,2,s,1,8,49,ducoda,NA,NA,paroxítona,T.A.,2921,década,proparoxítona,CV-CV-CV,vogal,2,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
9,2,s,1,9,35,pucuto,NA,NA,paroxítona,T.A.,2823,futuro,paroxítona,CV-CV-CV,consoante,5,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
10,3,s,1,10,79,jupiner,NA,NA,oxítona,T.A.,5362,júpiter,proparoxítona,CV-CV-CVC,consoante,2,s,10,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
11,2,s,1,11,2,cudoga,NA,NA,paroxítona,T.A.,2833,código,proparoxítona,CV-CV-CV,vogal,3,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
12,1,s,1,12,84,cidafe,NA,NA,paroxítona,T.A.,2554,cidade,paroxítona,CV-CV-CV,consoante,3,s,10,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
13,1,s,1,13,42,conada,ada_paroxitono_5,paroxitona_5,paroxítona,T.A.,3811,canadá,oxítona,CV-CV-CV,vogal,2,n,4,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
14,2,s,1,14,26,bocito,NA,NA,paroxítona,T.A.,2698,código,proparoxítona,CV-CV-CV,consoante,6,q,3,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
15,4,s,1,15,48,gafila,NA,NA,paroxítona,T.A.,2747,sádica,proparoxítona,CV-CV-CV,consoante,9,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
16,2,s,1,16,72,dovife,NA,NA,paroxítona,T.A.,3611,comitê,oxítona,CV-CV-CV,consoante,6,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
